,0,1
0,#SBER,"('P(positive) = 0.52441. Result: ', 'Positive')"
1,"️СБЕРБАНК ПРЕДОСТАВИТ ETALON GROUP 26,5 МЛРД РУБ. НА ПРОЕКТ ""ЗИЛ-ЮГ"" В МОСКВЕ","('P(positive) = 0.02863. Result: ', 'Negative')"
2,🇷🇺 Сбербанк опубликует финансовую отчётность по МСФО за 1 квартал 2021 года,"('P(positive) = 0.73270. Result: ', 'Positive')"
3,#SBER,"('P(positive) = 0.52441. Result: ', 'Positive')"
4,"Центр компетенций по импортозамещению готовит обращение в правительство с просьбой включить Сбербанк в перечень акционерных обществ, находящихся в федеральной собственности, чтобы взять под контроль стратегию банка по импортозамещению в сфере оборудования и программного обеспечения, чтобы обязать Сбербанк покупать отечественные технологии","('P(positive) = 0.99374. Result: ', 'Positive')"
5,Сбербанк опубликует финансовую отчётность по МСФО за 1 квартал 2021 года,"('P(positive) = 0.73270. Result: ', 'Positive')"
6,#SBER,"('P(positive) = 0.52441. Result: ', 'Positive')"
7,#SBER,"('P(positive) = 0.52441. Result: ', 'Positive')"
8,Финансовая отчетность Сбербанка за 1 кв. 2021,"('P(positive) = 0.75643. Result: ', 'Positive')"
9,финансовая отчетность Сбербанка за 1 кв. 2021,"('P(positive) = 0.75643. Result: ', 'Positive')"
10,#SBER,"('P(positive) = 0.52441. Result: ', 'Positive')"
11,• Сбербанк профинансирует реализацию проекта ЗИЛ-Юг Эталона на 26.5 млрд рублей.,"('P(positive) = 0.28072. Result: ', 'Negative')"
12,• Сбербанк (,"('P(positive) = 0.64677. Result: ', 'Positive')"
13,SBER,"('P(positive) = 0.52441. Result: ', 'Positive')"
14,Трансконтейнер подписал со Сбербанком договор об открытии кредитной линии с лимитом 45 млрд руб,"('P(positive) = 0.79243. Result: ', 'Positive')"
15,#SBER,"('P(positive) = 0.52441. Result: ', 'Positive')"
16,Газпромбанк: Прогноз результатов Сбербанка за 1К21.,"('P(positive) = 0.99402. Result: ', 'Positive')"
17,. Разивать инвестиционно-банковское направление будет выходец из «Тройки диалог» и Сбербанка -,"('P(positive) = 0.97741. Result: ', 'Positive')"
18,#SBER,"('P(positive) = 0.52441. Result: ', 'Positive')"
19,#SBER,"('P(positive) = 0.52441. Result: ', 'Positive')"
20,️🇷🇺#SBER #игры,"('P(positive) = 0.58527. Result: ', 'Positive')"
21,#SBER,"('P(positive) = 0.52441. Result: ', 'Positive')"
22,#SBER,"('P(positive) = 0.52441. Result: ', 'Positive')"
23,"Сбербанк обяжут покупать отечественные технологии. Центр компетенций по импортозамещению в области ИКТ готовит обращение в правительство с просьбой включить Сбербанк в перечень акционерных обществ, находящихся в федеральной собственности, чтобы","('P(positive) = 0.99995. Result: ', 'Positive')"
24,️🇷🇺#SBER #отчетность,"('P(positive) = 0.52441. Result: ', 'Positive')"
25,#SBER,"('P(positive) = 0.52441. Result: ', 'Positive')"
26,Акции Сбербанка обновили исторический максимум.,"('P(positive) = 0.31486. Result: ', 'Negative')"
27,Цена акций Сбербанка впервые превысила 300 рублей,"('P(positive) = 0.73637. Result: ', 'Positive')"
28,Число клиентов Сбербанка впервые превысило 100 миллионов,"('P(positive) = 0.92909. Result: ', 'Positive')"
29,"Сбербанк с начала года сократил 7,4 тысячи сотрудников","('P(positive) = 0.26104. Result: ', 'Negative')"
30,Сбербанк,"('P(positive) = 0.38121. Result: ', 'Negative')"
31,Русгидро привлекло кредитную линию Сбербанка с лимитом 40 млрд руб на 10 лет - компания - Прайм,"('P(positive) = 0.85523. Result: ', 'Positive')"
32,#Сбербанк,"('P(positive) = 0.38121. Result: ', 'Negative')"
33,"На картинке дневной график Сбербанка - он никак не выйдет выше максимума 2021 года, который был в январе 2021.","('P(positive) = 0.00083. Result: ', 'Negative')"
34,"не растет дальше. Сбербанк имеет вес 15% в индексе, и он №1 по весу. Второй и третий номер это Газпром и Лукойл.","('P(positive) = 0.01115. Result: ', 'Negative')"
35,в боковике. Попытки вытолкнуть мейджоров - Сбербанк и Газпром вверх успехом не увенчалась. Нефтянка точно не нефтянется на фоне очередной попытки медведей загнать цену нефти 65 usd.,"('P(positive) = 0.99982. Result: ', 'Positive')"
36,Ждать выноса надо от Сбербанк+нефтянка.,"('P(positive) = 0.42027. Result: ', 'Negative')"
37,#Сбербанк,"('P(positive) = 0.38121. Result: ', 'Negative')"
38,"еще держится за счет Сбербанк ( дивиденд ) и Газпром ( дивиденд, но потом ).","('P(positive) = 0.93010. Result: ', 'Positive')"
39,"Пользователям доступны платежи с помощью систем ЮMoney (бывшие «Яндекс.Деньги»), Сбербанка, Stripe, Tranzzo, Payme, CLICK, LiqPay и ECOMMPAY. Оплата доступна как в мобильном приложении Telegram, так и в веб-версии. Кроме того, разработчики ввели возможность оставлять чаевые.","('P(positive) = 0.97332. Result: ', 'Positive')"
40,"Как мы ожидали и неоднократно писали, акции «Сбера» (SBER RX) достигли отметки 300 руб.","('P(positive) = 0.10058. Result: ', 'Negative')"
41,"Так, Morgan Stanley установил 12-месячную целевую цену на уровне 380 руб., UBS – 367 руб., Goldman Sachs – 370 руб. На наш взгляд, вполне вероятно, что котировки SBER достигнут этих уровней при условии отсутствия серьезных страновых рисков.","('P(positive) = 0.99629. Result: ', 'Positive')"
42,"Также на этой неделе отчитается Microsoft, Visa, Сбербанк, Apple и ряд других компаний, которые ни в коем случае не останутся без нашего внимания.","('P(positive) = 0.30512. Result: ', 'Negative')"
43,"Смотрим, откуда взялся убыток, ведь год назад компания показала прибыль 5,5 млрд рублей. Дело в Яндекс.Маркете. После развода со Сбербанком","('P(positive) = 0.97661. Result: ', 'Positive')"
44,#SBER,"('P(positive) = 0.52441. Result: ', 'Positive')"
45,"Сбербанк, ао спек. покупка, цель: 305 руб. Котировки могут пробить максимум и провести успешный штурм психологически значимой отметки 300 рублей — Фридом Финанс","('P(positive) = 0.94766. Result: ', 'Positive')"
46,"«Сбербанк» потихоньку подбирается к «круглой» отметке 300 рублей, вблизи которой может произойти торможение и даже откат вниз. Пробой этого уровня — дело времени — Алор Брокер","('P(positive) = 0.98731. Result: ', 'Positive')"
47,"Сервис «Диагностика» анализирует портфель и помогает инвестировать качественнее, даже если вы совершаете одну сделку в месяц. Доступно клиентам брокеров ВТБ, Сбербанка, «Тинькофф» и «ФИНАМа».","('P(positive) = 0.47722. Result: ', 'Negative')"
48,"«Сбербанк», ао, спек. покупка, цель: 305 руб. Котировки могут продолжить штурм психологически значимой отметки 300 рублей — Фридом Финанс","('P(positive) = 0.02518. Result: ', 'Negative')"
49,На рынке РФ вчера «Сбербанк» достиг заветной отметки в 300 рублей. Ждем «Сбер» на уровне 320 рублей — ФИНАМ,"('P(positive) = 0.95004. Result: ', 'Positive')"
50,"Прибыль «Сбербанка» в 1 квартале вырастет на 117% г/г, до 261 млрд руб., что выше консенсус-прогноза всего на 2% — Альфа-Банк","('P(positive) = 0.00683. Result: ', 'Negative')"
